time	V(vin)	V(vout)
3.983478187327416e-001	-3.525619e-004	-1.004922e-002
3.988676917796165e-001	2.901876e-003	-6.792743e-003
3.993875648264915e-001	6.158353e-003	-3.535259e-003
3.999074378733664e-001	9.416869e-003	-2.767637e-004
4.004273109202414e-001	1.267742e-002	2.982743e-003
4.009471839671163e-001	1.594002e-002	6.243261e-003
4.014670570139913e-001	1.920465e-002	9.504790e-003
4.023956284425626e-001	2.504297e-002	1.533489e-002
4.033241998711339e-001	3.078227e-002	2.106288e-002
4.042527712997053e-001	3.642254e-002	2.668875e-002
4.051813427282766e-001	4.196379e-002	3.221250e-002
4.061099141568479e-001	4.740602e-002	3.763413e-002
4.070384855854192e-001	5.274923e-002	4.295365e-002
4.079670570139906e-001	5.799341e-002	4.817105e-002
4.094527712997047e-001	6.610490e-002	5.623269e-002
4.109384855854188e-001	7.358143e-002	6.365394e-002
4.124241998711329e-001	8.042300e-002	7.043477e-002
4.139099141568470e-001	8.662960e-002	7.657521e-002
4.153956284425612e-001	9.220124e-002	8.207524e-002
4.168813427282753e-001	9.713791e-002	8.693486e-002
4.183670570139894e-001	1.014396e-001	9.115408e-002
4.208956284425606e-001	1.066260e-001	9.618642e-002
4.234241998711317e-001	1.093856e-001	9.879593e-002
4.259527712997029e-001	1.097184e-001	9.898260e-002
4.284813427282740e-001	1.076244e-001	9.674643e-002
4.310099141568451e-001	1.031035e-001	9.208743e-002
4.335384855854163e-001	9.615583e-002	8.500559e-002
4.360670570139875e-001	8.678132e-002	7.550092e-002
4.373099141568445e-001	8.145423e-002	7.011946e-002
4.385527712997015e-001	7.578421e-002	6.439996e-002
4.397956284425585e-001	6.977125e-002	5.834243e-002
4.410384855854155e-001	6.341535e-002	5.194687e-002
4.422813427282725e-001	5.671651e-002	4.521328e-002
4.435241998711295e-001	4.967473e-002	3.814165e-002
4.447670570139865e-001	4.229001e-002	3.073199e-002
4.454670570139864e-001	3.807671e-002	2.650739e-002
4.461670570139864e-001	3.382983e-002	2.225107e-002
4.468670570139863e-001	2.954937e-002	1.796300e-002
4.475670570139862e-001	2.523533e-002	1.364320e-002
4.482670570139861e-001	2.088772e-002	9.291664e-003
4.489670570139860e-001	1.650653e-002	4.908391e-003
4.496670570139860e-001	1.209177e-002	4.933820e-004
4.503366998711287e-001	7.866167e-003	-3.730660e-003
4.510063427282716e-001	3.662818e-003	-7.930768e-003
4.516759855854143e-001	-5.182774e-004	-1.210694e-002
4.523456284425571e-001	-4.677120e-003	-1.625918e-002
4.530152712996999e-001	-8.813711e-003	-2.038748e-002
4.536849141568427e-001	-1.292805e-002	-2.449185e-002
4.543545570139855e-001	-1.702013e-002	-2.857229e-002
4.554116998711282e-001	-2.341581e-002	-3.494598e-002
4.564688427282709e-001	-2.959873e-002	-4.110327e-002
4.575259855854137e-001	-3.556887e-002	-4.704416e-002
4.585831284425564e-001	-4.132625e-002	-5.276864e-002
4.596402712996992e-001	-4.687085e-002	-5.827672e-002
4.606974141568419e-001	-5.220269e-002	-6.356839e-002
4.617545570139847e-001	-5.732176e-002	-6.864366e-002
4.635402712996988e-001	-6.534198e-002	-7.658067e-002
4.653259855854128e-001	-7.223962e-002	-8.339036e-002
4.671116998711269e-001	-7.801470e-002	-8.907272e-002
4.688974141568410e-001	-8.266721e-002	-9.362777e-002
4.706831284425551e-001	-8.619716e-002	-9.705549e-002
4.724688427282692e-001	-8.860454e-002	-9.935590e-002
4.742545570139833e-001	-8.988935e-002	-1.005290e-001
4.761545570139831e-001	-8.960493e-002	-1.001250e-001
4.780545570139829e-001	-8.801426e-002	-9.842012e-002
4.799545570139827e-001	-8.511734e-002	-9.541424e-002
4.818545570139824e-001	-8.091417e-002	-9.110739e-002
